dataset,original_rows,original_columns,cleaned_rows,cleaned_columns,missing_values_after_cleaning,saved_path
crop_production,246091,7,246091,7,0,/mnt/data/cleaned_crop_production.csv
crop_yield,19689,10,19689,10,0,/mnt/data/cleaned_crop_yield.csv
custom_crop_yield,50765,20,50765,20,0,/mnt/data/cleaned_custom_crop_yield.csv
cost_of_cultivation_copy,5,9,5,9,0,/mnt/data/cleaned_cost_of_cultivation_copy.csv
cost_of_cultivation,5,9,5,9,0,/mnt/data/cleaned_cost_of_cultivation.csv
crop_climate_requirements,5,10,5,10,0,/mnt/data/cleaned_crop_climate_requirements.csv
crop_failure_risk,4,5,4,5,0,/mnt/data/cleaned_crop_failure_risk.csv
crop_insurance,5,3,5,3,0,/mnt/data/cleaned_crop_insurance.csv
crop_yield_data,5,4,5,4,0,/mnt/data/cleaned_crop_yield_data.csv
government_subsidy,4,4,4,4,0,/mnt/data/cleaned_government_subsidy.csv
market_price,5,3,5,3,0,/mnt/data/cleaned_market_price.csv
modern_solution,4,5,4,5,0,/mnt/data/cleaned_modern_solution.csv
msp_data,5,4,5,4,0,/mnt/data/cleaned_msp_data.csv
state_climate,5,5,5,5,0,/mnt/data/cleaned_state_climate.csv
state_climate_history,10,4,10,4,0,/mnt/data/cleaned_state_climate_history.csv
state_soil,5,4,5,4,0,/mnt/data/cleaned_state_soil.csv
traditional_solution,4,4,4,4,0,/mnt/data/cleaned_traditional_solution.csv
